date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
18191,-1770215362.8225992,1334550894.2315001,18188432.75104164,-9922830.94493279,-17289795.071051702,-887594168.8573104,0.0,-1332282830.7133522,-3588945469.1853204,2256662638.471968,0.29011975961554354
18192,1638964073.2319355,235267949.4722986,23678676.811617553,-2981974.924875411,-222763969.34792858,-94888746.9051369,0.0,1577276008.337911,2983533338.742221,-1406257330.40431,0.051145206407021436
18193,-767590680.4047378,-289480263.87246346,-26418833.89672647,-6578551.740840506,117261805.68793045,1540632.4387330005,0.0,-971265891.7881048,-1442829358.8889341,471563467.10082936,-0.0629304921461877
18194,1781895130.673798,458583725.0141619,13870086.104701642,11243311.716587372,44846304.22500001,-373592416.3543823,0.0,1936846141.3798668,3285656076.190152,-1348809934.8102853,0.09969211413351345
18195,-131414379.96761349,-141248804.24282452,-6205146.948862718,-6738475.936626994,109885692.53961171,171503238.9647192,0.0,-4217875.591596812,-57136637.98698807,52918762.395391256,-0.030706261791918373
18196,1527875423.230013,1142237095.3685398,22652296.30830843,-16877070.866323426,-278426917.07800746,-671253584.1335243,0.0,1726207242.8290057,2767695433.334836,-1041488190.5058303,0.2483124120366391
18197,-1621704479.5594537,264425952.02886164,1356918.6154347858,12421720.242077576,-72554748.75375,12821800.710228654,0.0,-1403232836.716601,-3131050527.7807846,1727817691.0641837,0.057483902614969926
18198,-215574464.21817642,-1633301375.3225596,1997058.283403157,13098054.019176356,8271701.558301909,1509545997.9598873,0.0,-315963027.71996737,-354341437.8872671,38378410.16729975,-0.3550655163744695
18199,232947309.4125347,1214793401.9374974,14911233.585123984,-3463049.330077438,370153860.2420195,-1417849589.2422855,0.0,411493166.6048126,572827939.8863449,-161334773.2815323,0.2640855221603255
18200,423881836.76028275,1121390181.626549,12082508.44967188,-19958522.175595816,329943310.0143674,-463751449.2145995,0.0,1403587865.4606757,774260261.217432,629327604.2432437,0.2437804742666411
18201,1389191805.88754,-437461140.6921297,-12434152.040061573,12618310.194078745,123447632.02368313,-63541774.8065241,0.0,1011820680.5665867,2521007168.3583536,-1509186487.791767,-0.09510024797654992
