date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,asset_pnl,liability_pnl,surplus_pnl
2021-09-10,-1982.8590163142323,2210012967.868067,20107629.830433343,7867875.9557520645,10.113750004350374,-732236692.0874649,1505749808.8215208,-3322.0712852478027,1505753130.892806
2021-09-17,-3123.8146657920565,2086159101.3552787,20131024.866712205,9797125.598882586,1.348500004350366,-707709492.0164344,1408374637.3382733,-5107.346829414368,1408379744.6851027
2021-09-24,-3609.5941844654703,2302073825.5929437,23007342.004291475,4477123.161524339,-5.5195499956496406,-767717729.9782963,1561836945.666729,-5679.180815696716,1561842624.8475447
2021-10-01,-1338.3135717610276,1942159908.5218444,20485111.456982575,5935327.4306896385,65541717.12450004,-642973065.6405958,1391147660.5798492,-2269.7685232162476,1391149930.3483725
2021-10-08,-1164.6461454160483,1663604635.067187,17786308.818300463,6290088.229490897,-1.325249993416388,-560003431.7089903,1127676434.434593,-1848.5942754745483,1127678283.0288684
2021-10-15,-3834.8163156746396,1882067165.6216378,18015740.437236473,3851423.6936397776,-24.179999993416395,-630889621.0873159,1273040849.6688824,-5722.318852424622,1273046571.9877348
2021-10-22,-3704.444768507368,1986965844.7624648,17190828.37517021,2141584.254126773,-36.330449993416394,-681916775.6959382,1324377740.9206052,-5978.9616413116455,1324383719.8822465
2021-10-29,-2846.8733170138253,2439687942.1454797,19464130.23905485,958796.0184059378,-50.68499999341639,-884518934.289318,1575589036.555305,-4590.441593170166,1575593626.9968982
2021-11-05,-3561.390392790776,2079940600.655775,16578120.18480393,3211262.517824793,15.484500006583623,-709735835.3069764,1389990602.1455345,-5973.6979122161865,1389996575.8434467
2021-11-12,-2207.664839746425,1842059153.3097415,14607228.000580069,-2655932.0833069836,-48.359999993416395,-631568147.5829185,1222440045.6192565,-3783.510178565979,1222443829.129435
2021-11-19,-2245.581787000806,1719352564.3820524,12842714.406143453,-2819209.058879813,-65.5417499934164,-615634522.5628169,1113739236.042962,-3659.9848461151123,1113742896.0278082
2021-11-26,-2534.844102577576,1374109839.2514148,9262477.821372205,-4114263.1722104773,-57.055499993416404,-469053412.51994133,910202049.4810326,-4052.924153327942,910206102.4051859
2021-12-03,-432.96168840629645,1158498903.07514,8686082.741352435,-689603.6258783761,34.758750006583654,-389290287.38549715,777204696.6021783,-792.1604108810425,777205488.7625892
2021-12-10,-4588.2629273513,1352764833.3339245,9728505.874751953,-985864.0579801952,-7.128449993416379,-496836633.11580724,864666246.6435118,-7557.910457611084,864673804.5539694
2021-12-17,-2101.6636049727235,1072760590.2092654,9319876.602433596,403282.62116075715,-128.59574999341646,-408406780.93237895,674074738.2411256,-2972.9312238693237,674077711.1723495
2021-12-24,-3353.0857697416336,1132732234.5237803,9849244.992417237,-898211.7158627908,-145.77749999341648,-473601401.8884859,668078367.0485795,-5164.390495300293,668083531.4390748
2021-12-31,-3912.6988628178115,1139916949.132724,9484654.924154837,-1990189.446663944,-156.4957499934165,-463148131.6262933,684259213.7893089,-6026.889220237732,684265240.6785291
2022-01-07,-1352935393.5800834,795619925.096404,7890429.673122846,-3877339.4157804362,-137035139.02050006,-354383995.9902804,-1044721513.2371174,-2341427873.168231,1296706359.9311137
2022-01-14,-3662.8440560493364,866884346.8398635,7756506.088091851,-4447019.372457508,127816639.71000011,-388282421.23758215,609724389.1838598,-5421.517609596252,609729810.7014694
2022-01-21,-3625.886924304547,388639532.17441314,6202740.895718895,-3497836.565593162,127816613.08875008,-224886959.9297443,294270463.77662027,-6279.856137275696,294276743.63275754
2022-01-28,-3505.7660162442703,546479944.0509815,4490382.531578461,-1916778.808303693,127816544.8500001,-297202904.92130864,379663681.9369315,-6148.423064231873,379669830.3599957
2022-02-04,-3020.764191951033,407151361.5225773,932760.6719608812,-5697783.541557543,80744933.92800006,-238844399.57453713,244283852.24225166,-5310.952907562256,244289163.19515923
2022-02-11,-1600483414.5620325,275455761.10319346,-867346.2555161312,-7928917.560290216,-100739822.37450004,-179775085.58454403,-1614338825.233689,-2844732015.449703,1230393190.2160141
2022-02-18,-3967.5138544110596,202790618.57298234,-1437243.0483495616,-12071961.394290568,129929850.36825009,-145156014.49507782,174051282.48966005,-6899.776358604431,174058182.26601866
2022-02-25,-173604144.78654605,395808921.0534225,-883643.7913406396,-13250842.345881749,81184366.74000004,-213636313.62971342,75618343.23994064,-564546980.1554508,640165323.3953915
2022-03-04,-2348.5609450668794,315070559.638552,-1229250.2293335267,-16831061.40956706,81712134.06750005,-141579441.17043447,237140592.33577192,-4186.331617355347,237144778.66738927
2022-03-11,-1630625290.2160766,52641440.77561834,-3988386.5580972405,-18396351.101565886,-101109505.3027501,-26906430.22787784,-1728384522.6307492,-2918198651.7302957,1189814129.0995464
2022-03-18,-667437230.156423,385204855.65315163,-2225129.5068446193,-15572530.839369824,64500156.138,-176398535.12342098,-411928413.8349068,-632206413.9972982,220278000.16239142
2022-03-25,-833485711.4350381,496217227.54720694,-3621622.2040557144,-18594328.026604556,50247904.650000006,-191403835.35948634,-500640364.8279778,-1406165491.6596508,905525126.831673
2022-04-01,-2996.4588201859656,457881183.4310324,-3321746.1825204366,-17036973.325365704,128181726.55500005,-174149597.62693405,391551596.39239204,-5194.2962284088135,391556790.68862045
2022-04-08,-1103030111.6034746,230347420.03603232,-5605423.445790241,-18419782.33687626,-101174688.37500009,-80686917.9753293,-1078569503.7004383,-1883200174.3131876,804630670.6127493
2022-04-15,-1059009122.3394907,91249646.01559353,-6825032.357015977,-18950259.00313783,-86954977.40100008,-4921868.386745887,-1085411613.471797,-1805756310.1518269,720344696.6800299
2022-04-22,-1086599503.859752,-71760768.3876439,-7936972.49806248,-18889680.80709312,-99347153.88450007,49698755.307845786,-1234835324.1292055,-1855675420.645997,620840096.5167916
2022-04-29,-1127672197.5121922,-201697737.86859256,-10502019.584230825,-18425335.661176093,-105229367.07975009,112027521.81191945,-1351499135.8940225,-1926652721.4150982,575153585.5210757
