date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
21721,1781895130.673798,-432614125.69628936,-3568288.807355169,-6461606.782627024,287550406.7960133,184755765.2882022,0.0,1811557281.4717422,3285656076.190152,-1474098794.71841,-0.09404654906441073
21722,-1730473914.519906,588881702.9981533,-7795951.233583575,21550180.848192986,-108538387.19317168,-436282715.8963,0.0,-1672659084.9966154,-3476219750.0866394,1803560665.090024,0.12801776152133768
21723,1085740672.5806584,818073041.1587886,2750652.645904131,-20375426.80562349,88175345.06179091,-811427636.1758063,0.0,1162936648.4657123,1924081153.2114248,-761144504.7457125,0.17784196546930187
21724,1666968920.832127,569863623.9800975,5170149.020301556,-8863977.432427805,44846304.22500001,-146735232.39938283,0.0,2131249788.225715,2964997395.938802,-833747607.7130868,0.12388339651741251
21725,1781895130.673798,814635314.3764375,10940049.717659855,-26795066.094151013,-240175418.93500677,-462496222.8034486,0.0,1878003786.9352894,3285656076.190152,-1407652289.2548628,0.1770946335600951
21726,-1770215362.8225992,1779578838.295267,41958216.70577001,8284616.931361394,-97414668.40851055,-1197534509.5521033,0.0,-1235342868.8508146,-3588945469.1853204,2353602600.334506,0.3868649648467972
21727,1781895130.673798,247026392.91805956,-5859944.315371163,-20237755.293768127,2391820.247695636,-424704158.5257184,0.0,1580511485.7046955,3285656076.190152,-1705144590.4854567,0.053701389764795555
21728,-1770215362.8225992,362797674.1268723,14442290.863218162,-8966759.726079868,-412111796.0550002,-497885203.26027226,0.0,-2311939156.8738613,-3588945469.1853204,1277006312.311459,0.07886905959279833
21729,-1734481047.8692088,1178612741.585004,22879066.983338237,-5906966.8113613315,-72554748.75375,-959447246.078188,0.0,-1570898200.9441657,-3360497274.8077903,1789599073.8636246,0.2562201612141313
21730,1781895130.673798,1282060914.6073077,6108311.260799864,-8495834.040984906,101037504.74065049,-812198175.1269094,0.0,2350407852.114662,3285656076.190152,-935248224.07549,0.2787088944798495
21731,974037628.6353987,289909085.6980705,-7390724.418128416,-6817323.472791198,126371080.23732136,-175769140.45473483,0.0,1200340606.2251363,1735038372.7177973,-534697766.492661,0.06302371428218924
21732,26486237.317586634,847666546.7414485,14982139.569839472,-13810588.406958219,70339941.75926834,-474396082.3107854,0.0,471268194.6703993,74168926.70914078,397099267.96125853,0.184275336248141
21733,-1770215362.8225992,540863842.5794009,-3855743.0877527324,-29530012.185528453,114238280.5477373,27976789.34112002,0.0,-1120522205.6276224,-3588945469.1853204,2468423263.5576982,0.11757909621291324
21734,491693083.94605803,916421926.3905556,9829745.330747265,13987973.264775643,257240589.86158153,-184250226.9320405,0.0,1504923091.861678,837855702.5466099,667067389.315068,0.19922215791099035
21735,-1770215362.8225992,1405284673.284998,18052321.350548156,12875206.389812702,-85711156.13725272,-985283807.3543097,0.0,-1404998125.2888026,-3588945469.1853204,2183947343.8965178,0.30549666810543435
21736,1499269451.8449147,1264066872.6671126,13702563.741592739,-27108318.73674367,-63855331.34119559,-1169692714.6931653,0.0,1516382523.4825158,2649477581.171727,-1133095057.6892114,0.274797146231981
21737,-1669773670.7856865,1127651959.76793,21725658.46700953,-18242794.798214328,-20023683.413324866,-908810865.6776323,0.0,-1467473396.4399185,-3315146603.498311,1847673207.0583925,0.24514173038433262
21738,-1633331260.3516781,1935214276.734294,15873764.656682406,-18138904.034631528,-100942481.30583088,-1211114649.6709747,0.0,-1012439253.9721389,-3223090616.5679283,2210651362.5957894,0.42069875581180305
21739,1213337976.9454508,748480282.207444,11623471.95106941,8236499.786904353,-44523656.86933261,-67617664.64867827,0.0,1869536909.3728576,2219571145.421193,-350034236.04833555,0.1627131048277052
21740,1086126126.8145773,518407696.35211,28030613.05830036,-20495013.322189,-40523922.01919986,-342317594.6223004,0.0,1229227906.2612984,2043564454.6811285,-814336548.4198301,0.11269732529393696
21741,-1770215362.8225992,515113486.43791103,12941433.395000177,-17581158.84830844,-72554748.75375,-764721583.8660077,0.0,-2097017934.4577541,-3588945469.1853204,1491927534.7275662,0.1119811927038937
21742,-450848656.3544897,846288780.9780627,10922819.354069874,9238577.7069835,-249107695.28626505,-713776537.365985,0.0,-547282710.9676236,-819735212.8265257,272452501.8589021,0.18397582195175277
21743,-1396844460.2419581,1872723914.0165453,34792854.30880879,11375593.327534959,-231973253.06537285,-1625657853.2489376,0.0,-1335583204.9033794,-2615889051.452162,1280305846.5487823,0.40711389435142287
21744,1391719490.4963086,800229040.4940537,-1586629.799697898,-33053023.362234175,130780161.97459638,-734048686.0586711,0.0,1554040353.7443557,2509067623.218934,-955027269.4745784,0.17396283489001169
21745,-1288273187.3782887,901321601.5597534,4775997.812650405,-7535831.515725992,81697660.04125164,-711562889.1907337,0.0,-1019576648.671093,-2412965649.3687735,1393389000.6976805,0.1959394785999464
21746,1386943329.6823652,882084989.7697277,3536294.6712802923,-25798648.866945155,137407222.34294248,-498606606.9110355,0.0,1885566580.6883354,2472503819.094426,-586937238.4060907,0.19175760647167994
21747,-1770215362.8225992,667526870.6290421,15599591.563329665,-6870886.540477083,-319733038.3248632,-918294854.76415,0.0,-2331987680.2597175,-3588945469.1853204,1256957788.925603,0.14511453709327002
21748,-1770215362.8225992,-277667674.3835362,-14843906.120098082,361464.439477147,-246482275.06108922,107172172.64527085,0.0,-2201675581.3025746,-3588945469.1853204,1387269887.8827457,-0.060362537909464394
21749,1187593515.5216773,1288607583.35193,20858381.770546056,-8215654.534866427,-252822925.61405596,-1209402556.079802,0.0,1026618344.4154286,2187823511.506215,-1161205167.0907865,0.28013208333737605
21750,1781895130.673798,1533977324.4815314,26554843.825847603,-14217545.053679107,384403351.5262502,-1232879819.2062843,0.0,2479733286.247464,3285656076.190152,-805922789.942688,0.3334733314090286
21751,1781895130.673798,941529349.4516082,16332317.431415346,-10392875.394526152,193146288.7668091,-707372089.4710546,0.0,2215138121.4580503,3285656076.190152,-1070517954.7321019,0.20468029335904525
21752,490972652.2824556,645380978.3937893,-10239729.49579284,-3312876.7552752816,181495436.70458612,-326441463.482753,0.0,977854997.6470098,1110069296.5225534,-132214298.8755436,0.140300212694302
21753,-1727936620.1534092,161610595.6377677,19687449.89426565,4186390.1806755387,-66572644.54399194,-561470302.102959,0.0,-2170495131.0876513,-3491224610.4772277,1320729479.3895764,0.03513273818212341
21754,-1381062894.8991587,574542809.0146096,-7638734.5111063095,-20107418.45213422,-221833276.43685767,64814594.300052114,0.0,-991284920.9845952,-2639327521.9739785,1648042600.9893832,0.12490061065534991
21755,-1401266016.6378071,1162558768.7976274,10510266.738600142,-19335648.861599572,-95106485.96726845,-779347319.7647222,0.0,-1121986435.69517,-2611906864.728179,1489920429.033009,0.252730167129919
21756,-1770215362.8225992,74399989.61515263,13956890.109385408,-34586007.25599032,-182339449.37435663,-197947777.95503667,0.0,-2096731717.6834445,-3588945469.1853204,1492213751.5018759,0.016173910785902745
21757,-1318347229.175417,120778281.18058985,13419897.066201927,-3070323.258588707,-72554748.75375,-103745125.85261951,0.0,-1363519248.7935834,-2444634192.376169,1081114943.5825858,0.026256148082736925
21758,153222000.42147306,972778880.022854,19009939.01782852,-8041501.997806162,-135940449.51675135,-761351687.7400825,0.0,239677180.20751572,203928652.00268936,35748528.204826355,0.21147366957018565
21759,-1386079646.508335,-109769144.8185571,5597806.316533174,-12909277.202181788,-288273614.8606817,-3770040.6960710264,0.0,-1795203917.7692935,-2573104982.5890603,777901064.8197668,-0.023862857569251543
21760,1781895130.673798,604824543.3779001,10078992.006153552,658004.1384274059,92119922.75191107,-406030323.8057391,0.0,2083546269.142451,3285656076.190152,-1202109807.0477011,0.13148359638650003
21761,-1104589981.2803009,406027653.12816954,9314646.37166661,1824615.4833267462,222672447.38399523,109412776.935121,0.0,-355337841.9780216,-1994518658.423172,1639180816.4451504,0.08826688111481946
