date,book,method,var
2019-03-07,fwd_recv_2y5y,PCA + GARCH,33330713.249396782
2019-03-07,fwd_recv_5y5y,Delta-Normal,77292937.34038888
2019-03-07,fwd_recv_5y5y,Monte Carlo,75998278.56243332
2019-03-07,fwd_recv_5y5y,PCA + GARCH,54992502.464976236
2019-03-07,payer_5y,Delta-Normal,132321308.30473746
2019-03-07,payer_5y,Monte Carlo,132580004.32721291
2019-03-07,payer_5y,PCA + GARCH,99420872.72768733
2019-03-07,payer_10y,Delta-Normal,249215300.42495593
2019-03-07,payer_10y,Monte Carlo,249177416.94435185
2019-03-07,payer_10y,PCA + GARCH,186359719.38590646
2019-03-14,unhedged,Delta-Normal,62788697.731298395
2019-03-14,unhedged,Monte Carlo,62366070.46640605
2019-03-14,unhedged,PCA + GARCH,60017685.25005748
2019-03-14,irs_recv_5y,Delta-Normal,15541176.33763605
2019-03-14,irs_recv_5y,Monte Carlo,15393470.958707979
2019-03-14,irs_recv_5y,PCA + GARCH,10553438.075687252
2019-03-14,irs_recv_10y,Delta-Normal,127794407.29532905
2019-03-14,irs_recv_10y,Monte Carlo,125634441.45858304
2019-03-14,irs_recv_10y,PCA + GARCH,117853558.29956195
2019-03-14,fwd_recv_2y5y,Delta-Normal,47031268.96316667
2019-03-14,fwd_recv_2y5y,Monte Carlo,46369878.84460171
2019-03-14,fwd_recv_2y5y,PCA + GARCH,41269308.49103174
2019-03-14,fwd_recv_5y5y,Delta-Normal,77226003.90687709
2019-03-14,fwd_recv_5y5y,Monte Carlo,75579279.03647053
2019-03-14,fwd_recv_5y5y,PCA + GARCH,67236111.48362714
2019-03-14,payer_5y,Delta-Normal,132431804.68607374
2019-03-14,payer_5y,Monte Carlo,131577746.88522774
2019-03-14,payer_5y,PCA + GARCH,126630630.65363523
2019-03-14,payer_10y,Delta-Normal,249298012.12404323
2019-03-14,payer_10y,Monte Carlo,249333148.89018413
2019-03-14,payer_10y,PCA + GARCH,238137365.48649648
2019-03-21,unhedged,Delta-Normal,62634919.3760693
2019-03-21,unhedged,Monte Carlo,63336861.75985532
2019-03-21,unhedged,PCA + GARCH,53702277.51266851
2019-03-21,irs_recv_5y,Delta-Normal,15541628.471838707
2019-03-21,irs_recv_5y,Monte Carlo,15460892.235069383
2019-03-21,irs_recv_5y,PCA + GARCH,9768045.508277558
2019-03-21,irs_recv_10y,Delta-Normal,128183602.87438573
2019-03-21,irs_recv_10y,Monte Carlo,128574466.54260807
2019-03-21,irs_recv_10y,PCA + GARCH,106689187.25323008
2019-03-21,fwd_recv_2y5y,Delta-Normal,47178608.78138444
2019-03-21,fwd_recv_2y5y,Monte Carlo,46801898.22272632
2019-03-21,fwd_recv_2y5y,PCA + GARCH,36970739.18790121
2019-03-21,fwd_recv_5y5y,Delta-Normal,77568416.2927399
2019-03-21,fwd_recv_5y5y,Monte Carlo,76204132.74760313
2019-03-21,fwd_recv_5y5y,PCA + GARCH,60569961.55681231
2019-03-21,payer_5y,Delta-Normal,132180778.2889771
2019-03-21,payer_5y,Monte Carlo,133845175.5671557
2019-03-21,payer_5y,PCA + GARCH,112167080.98162733
2019-03-21,payer_10y,Delta-Normal,249404321.67770955
2019-03-21,payer_10y,Monte Carlo,252008073.78621346
2019-03-21,payer_10y,PCA + GARCH,214159106.14588436
2019-03-28,unhedged,Delta-Normal,62995098.094723344
2019-03-28,unhedged,Monte Carlo,62407330.21896044
2019-03-28,unhedged,PCA + GARCH,55934065.007490754
2019-03-28,irs_recv_5y,Delta-Normal,15674912.490095595
2019-03-28,irs_recv_5y,Monte Carlo,15452699.025270488
2019-03-28,irs_recv_5y,PCA + GARCH,10036728.908310497
2019-03-28,irs_recv_10y,Delta-Normal,130112146.93700428
2019-03-28,irs_recv_10y,Monte Carlo,126884509.00245722
2019-03-28,irs_recv_10y,PCA + GARCH,115366165.92711034
2019-03-28,fwd_recv_2y5y,Delta-Normal,47801078.804212905
2019-03-28,fwd_recv_2y5y,Monte Carlo,46456961.71564885
2019-03-28,fwd_recv_2y5y,PCA + GARCH,40466568.06162376
2019-03-28,fwd_recv_5y5y,Delta-Normal,78869081.53358522
