date,unhedged,irs_recv_5y,irs_recv_10y,fwd_recv_2y5y,fwd_recv_5y5y,payer_5y,payer_10y
2024-03-04,-10545500.000000011,-2103462.6522910707,65096818.88394736,34891524.781412944,58259062.69160102,-18987537.34770895,-86187818.88394739
2024-03-18,16369499.99999993,-1716736.783993315,-10072732.336717676,-477206.563139271,7598782.010702062,34455736.78399317,42811732.33671753
2024-04-04,-63077000.0,-4734879.407579422,23003507.949826002,-10780231.111816883,-33949434.8734262,-121419120.59242058,-149157507.949826
2024-04-18,113795500.00000001,1252581.6304071099,-61741162.17399,8213005.61388351,47936141.5407231,226338418.3695929,289332162.17399
2024-05-03,-20502999.999999963,-2346242.162721835,11137406.150482215,-3454031.5072643384,-6547174.589193545,-38659757.83727809,-52143406.15048214
2024-05-17,14944999.999999985,1103077.3453125805,4204028.797845349,11838876.807152256,18050418.774480924,28786922.65468739,25685971.20215462
2024-05-31,73783499.99999996,-11448.290693089366,-40600751.3811398,388434.2384056598,31152614.834054068,147578448.29069299,188167751.3811397
2024-06-14,-139258000.00000003,-9309013.260593683,49272551.706686705,-31768817.840992957,-77722718.83885363,-269206986.73940635,-327788551.70668674
2024-06-28,52094000.00000005,363752.9023109004,-82134687.52656955,-31222924.165356822,-32989562.203231998,103824247.09768921,186322687.52656966
2024-07-12,-60276999.99999996,-5473996.45496913,26687213.52611331,-16801988.530202948,-26869695.947191678,-115080003.5450308,-147241213.52611324
2024-07-26,-77171499.99999997,-10132224.928219289,-2466257.1413855255,-43791375.128682226,-68699110.49669322,-144210775.07178065,-151876742.85861441
2024-08-09,-136668000.0,-21601326.35090661,56073342.781083584,-51129128.897765994,-56357829.241404,-251734673.6490934,-329409342.7810836
2024-08-23,-28049000.000000007,-6284427.7927460745,8287514.756934874,-11865386.547503717,-12950453.683213122,-49813572.20725394,-64385514.75693489
2024-09-06,-52898999.99999997,-10041129.979739398,2960117.2390203774,-44521532.33357701,-39706549.45336041,-95756870.02026054,-108758117.23902032
2024-09-20,-33466999.999999996,-6867741.650870796,-56947025.58713579,-40210623.626375794,-84001517.94301695,-60066258.3491292,-9986974.412864204
2024-10-04,-5446000.000000022,-12633088.335332893,14889098.791040637,-15657372.798414014,22074304.557368316,1741088.3353328481,-25781098.79104068
2024-10-18,-71634500.00000001,-5327661.789086118,6349241.024195418,-28393581.35980083,-58804766.371990755,-137941338.2109139,-149618241.02419543
2024-11-01,62702499.99999998,-11160942.43684294,-13700648.894788526,2180309.4513562694,58910922.65239916,136565942.4368429,139105648.89478847
2024-11-15,-107992499.99999996,-16177982.665650085,46965292.524916455,-31594832.99430354,-42573154.50717123,-199807017.3343498,-262950292.52491635
2024-11-29,-86282000.00000004,-2010870.335749194,72307882.72397085,5183117.603816107,-9297944.324968144,-170553129.6642509,-244871882.72397095
2024-12-13,72205000.00000004,-1460379.7994961292,-52275352.07649918,-2304180.6644088775,19242315.761336014,145870379.79949623,196685352.07649928
2025-01-03,74567499.99999999,1063761.4168131202,-87937892.9831412,-21478098.380425945,-17336060.819787934,148071238.58318686,237072892.98314118
2025-01-17,52185000.00000002,3693829.8031845316,-28688557.55833552,8608167.585632347,18513051.379104696,100676170.19681552,133058557.55833557
2025-01-31,-53112500.0,-3086722.1292102337,28258541.40297389,-8814907.387735486,-20488929.226624846,-103138277.87078977,-134483541.4029739
2025-02-14,4554199.99999993,-5606061.2339134915,-7439530.710725377,-4400986.971628855,2480173.0300047295,14714461.23391335,16547930.710725237
2025-02-28,-78996399.99999991,-1664286.7608174384,9675906.13632235,-20401526.211947232,-66374551.10449639,-156328513.23918238,-167668706.13632217
2025-03-14,214690699.99999994,8831826.12544483,-255995678.0438946,-65638714.63433784,-58717844.880606055,420549573.87455505,685377078.0438945
2025-03-28,-82844999.99999997,-1365293.0347010791,21981265.32379058,-20239230.064136595,-57966128.16695997,-164324706.96529886,-187671265.32379052
2025-04-11,-70581000.00000004,-22112295.159651324,27733980.139136985,-44366966.689316556,-19557616.536292,-119049704.84034877,-168895980.1391371
2025-04-30,-113070999.99999999,9440738.683109775,40211444.70692755,-5547379.966387138,-79782387.70126127,-235582738.68310976,-266353444.70692754
2025-05-15,97993700.0,2094284.7279837132,-41719959.38988209,19471187.215859056,52048078.48992443,193893115.2720163,237707359.3898821
2025-05-29,-54625199.99999999,-3810567.9629628584,-2141738.530292265,-25948499.467968218,-52321478.5325421,-105439832.03703713,-107108661.46970773
